Jump,MaxHeight,AtFrame,Jump,MaxHeight,AtFrame,Jump,MaxHeight,AtFrame,Jump,MaxHeight,AtFrame
1,1.2595513999999999,9,7,2.8501914,15,13,4.1992314,22,19,5.0111428,29
2,1.5198746,10,8,3.1047631,16,14,4.3750325,24,20,5.0931473,30
3,1.7841414,11,9,3.3496037,18,15,4.5341168,25,21,5.1626396,30
4,2.0463791,12,10,3.5847454,19,16,4.6767178,26,22,5.1706372,31
5,2.3210314,13,11,3.8052425999999997,20,17,4.8034213999999995,27,23,5.1706372,31
6,2.5842858,14,12,4.0103569,21,18,4.9147358,28,0,0.0,0
