TimeStep,WalkPositionX,WalkVelocityX,WalkAccelerationX,SprintPositionX,SprintVelocityX,SprintAccelerationX
-1,0.0,8.001221,0.0,0.0,12.8019533,0.0
0,0.13335439999999998,8.001221,0.0,0.21336839999999999,12.8019533,0.0
1,0.2215883,5.294047,-2.7071739999999993,0.3016023,5.294047,-7.507906299999999
2,0.3037836,4.931798,-0.36224900000000027,0.38379759999999996,4.931798,-0.36224900000000027
3,0.3798563,4.56429768,-0.36750031999999955,0.45987000000000006,4.56429768,-0.36750031999999955
4,0.44594209999999995,3.9651453500000002,-0.5991523299999999,0.5259560999999999,3.9651453500000002,-0.5991523299999999
5,0.5018159999999999,3.35244536,-0.6126999900000003,0.5818300000000001,3.35244536,-0.6126999900000003
6,0.5472184999999999,2.72415447,-0.6282908899999997,0.6272325,2.72415447,-0.6282908899999997
7,0.58186,2.078582,-0.6455724700000003,0.6618738,2.078582,-0.6455724700000003
8,0.6054345999999999,1.414391,-0.664191,0.6854486,1.414391,-0.664191
9,0.6176111,0.7305967999999999,-0.6837942,0.6976251,0.7305967999999999,-0.6837942
10,0.6180536,0.0265678242,-0.7040289757999999,0.6980676,0.0265678242,-0.7040289757999999
11,0.6184961,0.0265678242,0.0,0.6985100000000001,0.0265678242,0.0
