TimeStep,GroundPositionX,GroundVelocityX,GroundAccelerationX,AirPositionX,AirVelocityX,AirAccelerationX
0,0.0,8.0,0.0,0.0,8.001221,0.0
1,0.13333319999999999,8.0,0.0,0.1333541,8.001221,0.0
2,0.22499972000000001,5.5,-2.5,0.2667083,8.001221,0.0
3,0.27500009000000003,3.00000024,-2.49999976,0.4000623,8.001221,0.0
4,0.27500009000000003,0.0,-3.00000024,0.5334167,8.001221,0.0
5,0.27500009000000003,0.0,0.0,0.6667708999999999,8.001221,0.0
6,0.27500009000000003,0.0,0.0,0.8001250999999999,8.001221,0.0
7,0.27500009000000003,0.0,0.0,0.9334793,8.001221,0.0
